m0,m1,m2,m3,z,voltage_mV,std_mV
1135,3471,2070,650,50,3247.626117740409,15.128422516021375
1077,3496,2131,639,117,1139.4289986877043,8.304273793802315
1071,3477,2098,648,5,2187.807550279245,19.622671790805388
1121,3499,2079,704,37,4076.9396038697464,43.77163279565763
1092,3432,2124,718,17,3591.777092806788,18.788620718042313
1137,3463,2129,638,129,1278.1228064821312,43.29857494470694
1147,3462,2097,701,10,4054.3856624042473,36.66143649359714
1148,3475,2058,728,182,2891.793115024262,14.211852591087448
1119,3493,2067,681,1,4263.413342692344,42.730954079377504
1152,3423,2115,655,159,2025.8946501052892,31.083417271118464
1132,3498,2046,644,21,3200.319376201666,43.78440344271005
1138,3409,2123,726,98,4409.419385357218,39.36553994242364
1098,3401,2043,689,13,3947.7962584307393,9.956026848548351
1163,3415,2088,666,170,2994.224829859309,31.266364653326765
1165,3455,2081,641,81,2358.033692434461,27.729768712842038
1084,3444,2052,660,108,4279.748527481917,35.29529638730607
1166,3450,2103,731,90,3866.685689870906,24.685403512015494
1127,3489,2041,710,78,4209.632862331005,5.882781197841491
1131,3482,2113,633,150,1219.1019928586688,26.337789660488106
1145,3412,2076,708,165,4208.753929258096,10.506743307434226
1159,3460,2083,729,179,2938.1048005615403,43.94656575204066
1114,3466,2094,711,87,4005.4103213599055,41.37597861974846
1111,3454,2091,673,162,2836.0869167149876,41.43168159575279
1117,3429,2104,670,42,2544.3758964812164,9.547719507427056
1156,3419,2068,699,155,4090.9537034211244,41.93852463557996
1074,3404,2084,686,24,2281.650746177557,20.525674480141227
1069,3440,2039,646,126,4118.021485030669,22.307317732179968
1124,3436,2119,661,73,1856.3754692220834,32.62910313105238
1161,3422,2075,724,121,4278.303323465682,36.312618941008424
1096,3452,2060,687,114,4241.122165593434,41.91208338098744
1108,3417,2033,636,45,3249.3398846400332,18.973353797015424
1141,3433,2064,698,63,4653.659474471267,20.473149782842935
1072,3426,2092,695,132,4118.415784173099,21.768803886715276
1086,3468,2100,675,193,2895.520493179113,11.196569000655657
1079,3457,2086,652,139,2423.4182256538584,42.20418467085931
1105,3470,2044,720,105,4410.473952452161,39.78021861313731
1143,3442,2049,663,70,3659.6389660328996,45.17335142099341
1103,3405,2109,721,54,3509.8165837580486,12.15337535714431
1090,3408,2062,654,32,3065.7415997802673,17.866205756869594
1107,3491,2037,678,30,4560.68605609302,9.094947017729282e-13
1080,3414,2034,679,190,4560.642262031922,1.9580402588131633
1150,3486,2055,671,64,3257.55790887173,30.724180166450445
1112,3446,2120,668,174,2105.430921353802,7.038592617127781
1101,3484,2110,715,144,3340.283822138128,24.295877850066912
1154,3427,2127,691,184,2470.856654560991,33.35892608500677
1128,3479,2056,705,198,2812.219153416547,21.669830706352666
1095,3474,2106,658,143,1854.974059266946,31.318082019615908
1088,3447,2117,714,57,3508.102816858424,2.7746092130063755
1122,3488,2073,693,93,3857.2261726737256,12.55874403121511
1082,3438,2050,683,102,4659.221320230718,28.61569099595462
